,Animal Name,Kingdom,Phylum,Class,Order,Family,Genus
816,Texas Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Gopherus
817,Indian Star Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone
820,Nile Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
821,Egyptian Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo
822,Philippine Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
824,African Spurred Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Centrochelys
825,Green Sea Turtle,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia
826,Herman's Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo
827,Orinoco Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
828,Black Caiman,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Melanosuchus
829,Eastern Long-Necked Turtle,Animalia,Chordata,Reptilia,Testudines,Chelidae,Chelodina
830,Gopher Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Gopherus
831,Siamese Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
833,Russian Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Agrionemys
834,Greek Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo
835,Australian Saltwater Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
836,Leopard Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Stigmochelys
837,Red-Footed Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis
838,Gharial,Animalia,Chordata,Reptilia,Crocodilia,Gavialidae,Gavialis
839,Radiated Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Astrochelys
840,Freshwater Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
841,Hawksbill Sea Turtle,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys
842,Chinese Alligator,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator
843,Galápagos Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis
844,Aldabra Giant Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Aldabrachelys
846,Dwarf Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Osteolaemus
847,Mugger,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
849,Yacare Caiman,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Caiman
850,Cuban Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
851,Pancake Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Malacochersus
852,American Alligator,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator
854,American Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
855,Morelet's Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
856,Spectacled Caiman,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Caiman
857,Texas Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Gopherus
858,Indian Star Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone
861,Nile Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
862,Egyptian Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo
863,Philippine Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
865,African Spurred Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Centrochelys
866,Green Sea Turtle,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia
867,Herman's Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo
868,Orinoco Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
869,Black Caiman,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Melanosuchus
870,Eastern Long-Necked Turtle,Animalia,Chordata,Reptilia,Testudines,Chelidae,Chelodina
871,Gopher Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Gopherus
872,Siamese Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
874,Russian Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Agrionemys
875,Greek Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo
876,Australian Saltwater Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
877,Leopard Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Stigmochelys
878,Red-Footed Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis
879,Gharial,Animalia,Chordata,Reptilia,Crocodilia,Gavialidae,Gavialis
880,Radiated Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Astrochelys
881,Freshwater Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus
882,Hawksbill Sea Turtle,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys
883,Chinese Alligator,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator
884,Galápagos Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis
